/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670,insitu_rrs_type,insitu_rrs412,insitu_rrs443,insitu_rrs490,insitu_rrs510,insitu_rrs555,insitu_rrs670
/end_header
211400,-61.28580000,-53.90528000,2004-03-01 16:52:00,amlr2004_leg2,S2004061140355.L2_MLAC.R0000020339_61S_61S_53W_53W.hdf_OCVAL_amlr2004_leg2_211400_B5.tar,0.00000000,25,-7892,55.42,25.10,0.127,5.704,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4699,-61.25000000,-56.49400000,2002-01-22 16:33:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_4699_B5.tar,99.65000000,25,-8946,46.13,45.14,0.041,7.612,0.00439200,0.00387400,0.00359700,0.00278300,0.00168600,-999,rrs,0.00456003,0.00395181,0.00403392,0.00347861,0.00204054,-999
17507,-61.24950000,-56.49420000,2002-01-22 16:31:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_17507_B5.tar,0.00000000,25,-8826,46.13,45.14,0.041,7.612,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4064,-61.24800000,-58.49800000,1998-02-08 13:27:00,amlr1998,S1998039150552.L2_MLAC.R0000020333_61S_61S_58W_57W.hdf_OCVAL_amlr1998_4064_B5.tar,0.00000000,25,7856,46.65,43.43,0.094,6.943,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
9076,-61.02800000,-56.53100000,2002-01-22 15:46:00,amlr2002,S2002022150900.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_9076_B5.tar,0.00000000,25,-254,41.51,50.48,0.084,7.113,-999,-999,-999,-999,-999,-999,aot,-999,-999,-999,-999,-999,-999
4698,-60.99900000,-56.49800000,2002-01-22 13:45:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_4698_B5.tar,2.30000000,25,1131,45.94,45.79,0.122,7.330,0.00471900,0.00441400,0.00403200,0.00296100,0.00157200,-999,rrs,0.00545049,0.00517363,0.00514915,0.00404803,0.00207841,-999
17506,-60.99845000,-56.49782000,2002-01-22 13:49:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_17506_B5.tar,0.00000000,25,891,45.94,45.79,0.122,7.330,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
211333,-60.99835000,-57.51617000,2004-01-21 14:58:00,amlr2004_leg1,S2004021145219.L2_MLAC.R0000020338_60S_60S_57W_57W.hdf_OCVAL_amlr2004_leg1_211333_B5.tar,0.00000000,25,1624,41.54,29.09,0.045,3.521,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
211276,-60.99830000,-57.51620000,2004-01-21 16:07:00,amlr2004_leg1,S2004021145219.L2_MLAC.R0000020338_60S_60S_57W_57W.hdf_OCVAL_amlr2004_leg1_211276_B5.tar,2.15000000,25,-2516,41.54,29.09,0.045,3.521,0.00537900,0.00463500,0.00393800,0.00282200,0.00141000,-999,rrs,0.00544047,0.00437415,0.00371707,0.00291246,0.00135144,-999
26060,-60.56000000,-63.82000000,2002-01-26 14:26:00,ioffe01,S2002026143940.L2_MLAC.R0000021031_60S_60S_64W_63W.hdf_OCVAL_ioffe01_26060_B5.tar,0.00000000,25,2817,43.98,23.31,0.017,3.632,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
17581,-60.48000000,-68.44900000,2002-02-09 16:11:00,amlr2002,S2002040143441.L2_MLAC.R0000020337_60S_61S_69W_68W.hdf_OCVAL_amlr2002_17581_B5.tar,0.00000000,25,-3697,49.25,36.46,0.035,8.220,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
17582,-60.36000000,-68.55000000,2002-02-09 17:11:00,amlr2002,S2002040143441.L2_MLAC.R0000020337_60S_61S_69W_68W.hdf_OCVAL_amlr2002_17582_B5.tar,0.00000000,25,-7299,49.18,37.04,0.041,8.258,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
26061,-60.36000000,-63.99000000,2002-01-26 15:26:00,ioffe01,S2002026143940.L2_MLAC.R0000021031_60S_60S_64W_63W.hdf_OCVAL_ioffe01_26061_B5.tar,0.00000000,25,-786,43.84,23.78,0.015,3.643,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4442,-60.30300000,-56.59600000,2001-02-18 17:25:00,amlr2001,S2001049145015.L2_MLAC.R0000020336_60S_60S_56W_56W.hdf_OCVAL_amlr2001_4442_B5.tar,5.10000000,25,-7190,49.27,41.07,0.034,6.795,0.00889400,0.00783900,0.00595300,0.00376800,0.00164500,-999,rrs,0.00752188,0.00667620,0.00529169,0.00357671,0.00136428,-999
211308,-60.25390000,-56.49180000,2006-01-22 16:53:00,amlr2006_leg1,S2006022141808.L2_MLAC.R0000020340_60S_60S_56W_56W.hdf_OCVAL_amlr2006_leg1_211308_B5.tar,3.15000000,25,-7315,42.33,39.29,0.047,9.685,0.00360900,0.00335100,0.00362300,0.00291600,0.00200800,-999,rrs,0.00465450,0.00405604,0.00445786,0.00380456,0.00238911,-999
211306,-60.22010000,-57.48940000,2006-01-20 17:55:00,amlr2006_leg1,S2006020143551.L2_MLAC.R0000020340_60S_60S_57W_57W.hdf_OCVAL_amlr2006_leg1_211306_B5.tar,92.45000000,25,-9988,41.23,30.42,0.018,6.526,0.00961100,0.00895000,0.00709200,0.00449200,0.00212900,-999,rrs,0.00834631,0.00805417,0.00701310,0.00475721,0.00178208,-999
26062,-60.16000000,-64.16000000,2002-01-26 16:26:00,ioffe01,S2002026143940.L2_MLAC.R0000021031_60S_60S_64W_63W.hdf_OCVAL_ioffe01_26062_B5.tar,0.00000000,25,-4388,43.70,24.30,0.017,3.619,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
17382,-60.00500000,-53.59600000,2000-03-04 14:04:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_17382_B5.tar,0.00000000,25,930,56.28,29.03,0.057,3.658,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4424,-60.00500000,-53.59600000,2000-03-04 14:04:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_4424_B5.tar,33.60000000,25,930,56.28,29.03,0.057,3.658,0.00227900,0.00222000,0.00249500,0.00225200,0.00165800,0.00024400,rrs,0.00475646,0.00383853,0.00427359,0.00357291,0.00252123,0.00022773
17383,-60.00100000,-53.29800000,2000-03-04 17:10:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_17383_B5.tar,0.00000000,25,-10231,56.21,28.31,0.100,3.635,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4425,-60.00100000,-53.29800000,2000-03-04 17:10:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_4425_B5.tar,47.00000000,25,-10231,56.21,28.31,0.100,3.635,0.00200300,0.00198700,0.00229300,0.00204000,0.00153600,0.00023200,rrs,0.00379557,0.00336907,0.00385586,0.00319023,0.00249615,0.00019967
26045,-57.83000000,-63.87000000,2001-12-31 16:10:00,ioffe01,S2001365143110.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26045_B5.tar,0.00000000,25,-4043,37.37,33.88,0.025,10.736,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
26044,-57.66000000,-64.02000000,2001-12-31 15:10:00,ioffe01,S2001365143110.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26044_B5.tar,0.00000000,25,-445,37.26,34.66,0.023,10.900,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
26056,-57.58000000,-63.31000000,2002-01-09 16:57:00,ioffe01,S2002009141531.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26056_B5.tar,0.00000000,25,-7776,39.31,43.56,0.022,10.019,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
26290,-57.52800000,-64.15000000,2002-02-27 17:00:00,ioffe01,S2002058153722.L2_MLAC.R0000021031_56S_57S_64W_64W.hdf_OCVAL_ioffe01_26290_B5.tar,8.20000000,25,-2865,49.41,48.73,0.036,2.263,-999,0.00885900,0.00681200,-999,-999,-999,rrs,-999,0.00959562,0.00694182,-999,-999,-999
